No.overall,No. inseries,Title,Incident,Original release date,Description
212,2,"""Disaster at Dutch Harbor""",PenAir Flight 3296,24 March 2024 (2024-03-24),"On 17 October 2019, PenAir Flight 3296 overruns the runway on landing at Unalaska Airport in the Aleutian Chain of Alaska, killing one passenger. The accident was caused by incorrect wiring of the wheel speed transducer harnesses on the left main landing gear.


Type of aircraft: Saab 2000"
213,3,"""Deadly Departure""",Air Transport International Flight 782,7 April 2024 (2024-04-07),"On 16 February 1995, Air Transport International Flight 782 crashes into the ground after failing to takeoff from Kansas City International Airport in Missouri, killing all 3 pilots. The flight crew failed to understand a three-engine takeoff procedure due to improper training. 


Type of aircraft: Douglas DC-8-63F"
214,4,"""Without Warning""",2019 Alaska mid-air collision,10 March 2024 (2024-03-10),"On 13 May 2019, a floatplane operated by Mountain Air Service collides with another floatplane operated by Taquan Air over George Inlet in Alaska, United States. All five people on board the Beaver and one passenger on board the Otter are killed in the accident.


Type of aircraft: N952DB: de Havilland Canada DHC-2 Beaver; N959PA: de Havilland Canada DHC-3 Turbine Otter"
215,5,"""Eleven Deadly Seconds""",China Airlines Flight 676,14 April 2024 (2024-04-14),"On 16 February 1998, China Airlines Flight 676 attempts a go-around while on approach to Chiang Kai-shek International Airport in poor weather conditions, but crashes into a residential area after entering a stall. All 196 people on board and 6 people on the ground are killed.


Type of aircraft: Airbus A300B4-600R"
216,6,"""Fight for Survival""",Pilgrim Airlines Flight 458,3 March 2024 (2024-03-03),"On 21 February 1982, Pilgrim Airlines Flight 458 crash-lands in the Scituate Reservoir near Providence, Rhode Island, after a fire erupts in the cockpit, killing one passenger. The cause of the fire was a leakage of flammable windshield washer/deicer fluid.


Type of aircraft: de Havilland Canada DHC-6 Twin Otter"
217,7,"""Pitch Battle""",Colgan Air Flight 9446,31 March 2024 (2024-03-31),"On 26 August 2003, Colgan Air Flight 9446 crashes into water shortly after takeoff from Barnstable Municipal Airport, killing both pilots. The causes of the crash were an improper replacement of the forward elevator trim cable and the pilots not following checklist procedures.


Type of aircraft: Beechcraft 1900D"
218,8,"""Under Fire""",Saudia Flight 163,17 March 2024 (2024-03-17),"On 19 August 1980, Saudia Flight 163 suffers an in-flight fire in the cargo hold. Despite returning to Riyadh International Airport, the flight crew fail to perform an emergency evacuation, and the aircraft bursts into flames on a taxiway. All 301 people on board die from smoke inhalation. 


Type of aircraft: Lockheed L-1011 TriStar 200"
219,9,"""Lost Star Footballer""",2019 English Channel Piper PA-46 crash,14 February 2024 (2024-02-14),"On 21 January 2019, a light aircraft breaks up in mid-air and crashes into the English Channel off Alderney in the Channel Islands during a flight from Nantes, France, to Cardiff, Wales. Argentine soccer player Emiliano Sala and pilot David Ibbotson are both killed.


Type of aircraft: Piper PA-46 Malibu"
220,10,"""Deadly Directive""",Ethiopian Airlines Flight 302,11 February 2024 (2024-02-11),"On 10 March 2019, Ethiopian Airlines Flight 302 crashes near the town of Bishoftu shortly after takeoff from Addis Ababa Bole International Airport, killing all 157 people on board. A faulty angle of attack sensor had accidentally activated the aircraft's MCAS system.


Type of aircraft: Boeing 737 MAX 8"
221,1,"""Pacific Ditching""",Transair Flight 810,16 March 2025 (2025-03-16),"On 2 July 2021, Transair Flight 810 ditches in Māmala Bay about 11 minutes into a flight from Honolulu, Hawaii, to Kahului, Maui. However, both crew members survive. It was determined that the pilots inadvertently reduced power to the wrong engine during a failure.


Type of aircraft: Boeing 737-200C"
222,2,"""Running on Empty""",Air Tahoma Flight 185,6 April 2025 (2025-04-06),"On 13 August 2004, Air Tahoma Flight 185 crashes into a golf course in Florence, Kentucky, after suffering a fuel starvation. The first officer is killed, but the captain survives with minor injuries. The investigation found that the pilots did not follow the fuel crossfeed procedures. 


Type of aircraft: Convair CV-580"
223,3,"""Power Struggle""",Sriwijaya Air Flight 182,9 February 2025 (2025-02-09),"On 9 January 2021, Sriwijaya Air Flight 182 crashes into the Java Sea five minutes after takeoff from Soekarno–Hatta International Airport, killing all 62 people on board. The crash was caused by the pilots improperly reacting to an autothrottle malfunction.


Type of aircraft: Boeing 737-500"
224,4,"""Second Thoughts""",Luxair Flight 9642,2 March 2025 (2025-03-02),"On 6 November 2002, the pilots of Luxair Flight 9642 accidentally set the propellers into reverse pitch while attempting to land at Luxembourg Findel Airport in heavy fog. The aircraft loses control and crashes into a field short of the airport. 20 of the 22 people on board are killed.


Type of aircraft: Fokker 50"
225,5,"""Powerless Plunge""",Loganair Flight 670A,23 February 2025 (2025-02-23),"On 27 February 2001, both engines on Loganair Flight 670A flame out shortly after takeoff from Edinburgh Airport. The aircraft later ditches in the Firth of Forth, killing both of the pilots. It was later determined that large amounts of snow had entered the engine air intakes. 


Type of aircraft: Short 360-100"
226,6,"""Cabin Chaos""",China Eastern Airlines Flight 583,2 February 2025 (2025-02-02),"On 6 April 1993, a crew member accidentally deploys the slats on China Eastern Airlines Flight 583 over the Pacific Ocean, causing severe oscillations. The aircraft later lands safely at Shemya Air Force Base in Alaska. Two passengers die from their injuries.


Type of aircraft: McDonnell Douglas MD-11"
227,7,"""Deadly Climb""",Midwest Express Airlines Flight 105,9 March 2025 (2025-03-09),"On 6 September 1985, the right engine of Midwest Express Airlines Flight 105 explodes shortly after takeoff from General Mitchell International Airport. The aircraft banks to the right and crashes into an open field in Oak Creek. All 31 people on board are killed.


Type of aircraft: McDonnell Douglas DC-9-14"
228,8,"""Firebomber Down""",2020 Coulson Aviation Lockheed C-130 Hercules crash,16 February 2025 (2025-02-16),"On 23 January 2020, an airtanker operated by Coulson Aviation crashes into terrain while aerial firefighting for the New South Wales Rural Fire Service during Australia's black summer bushfires. All three crew members on board are killed in the crash.


Type of aircraft: Lockheed EC-130Q Hercules"
229,9,"""Collision Catastrophe""",2002 Überlingen mid-air collision,23 March 2025 (2025-03-23),"On 1 July 2002, BAL Bashkirian Airlines Flight 2937 collides with DHL International Aviation ME Flight 611 in German airspace near Überlingen, killing all 71 people on board the two aircraft. The crew of Flight 611 followed the on-board traffic collision avoidance system (TCAS) instructions to initiate a descent. However, the crew of Flight 2937 followed the instructions of the air traffic controller instead of their TCAS and initiated a descent as well.
Note: This accident was previously featured in the episode ""Deadly Crossroads"" (S02E04) and as a special in the episode ""System Breakdown"" (S08E01).


Type of aircraft: Flight 2937: Tupolev Tu-154M; Flight 611: Boeing 757-200PF"
230,10,"""Fatal Test Flight""",Airborne Express Flight 827,30 March 2025 (2025-03-30),"On 22 December 1996, Airborne Express Flight 827 stalls and crashes into mountainous terrain near Narrows, Virginia, during a post-modification functional evaluation flight, killing all six occupants. The investigation found that the pilots made improper flight control inputs.  


Type of aircraft: Douglas DC-8-63F"
231,11,"""No Exit""",1991 Los Angeles runway collision,26 May 2025 (2025-05-26),"On 1 February 1991, USAir Flight 1493 collides with SkyWest Airlines Flight 5569 on the runway at Los Angeles International Airport, killing 35 people. An air traffic controller mistakenly assigned Flight 1493 to land on a runway where the SkyWest Airlines aircraft was waiting to take off.
Note: This accident was previously featured in the episode ""Cleared for Disaster"" (S09E04), and the episode is a ""Surviving Disaster"" special. 


Type of aircraft: Flight 1493: Boeing 737-300; Flight 5569: Fairchild Metro III"
1,1,"""Communication Breakdown""",United Express Flight 5925 Garuda Indonesia Flight 152 Tenerife airport disaster,9 July 2018 (2018-07-09),"This special looked at how failures in communication lead to disasters.


Types of aircraft: Flight 5925: Beechcraft 1900C; light aircraft: Beechcraft 65-A90 King Air; Flight 152: Airbus A300B4-200; Flight 1736: Boeing 747-100; Flight 4805: Boeing 747-200B"
2,2,"""Bad Attitude""",British European Airways Flight 548 Northwest Airlink Flight 5719 Trans-Colorado Airlines Flight 2286,16 July 2018 (2018-07-16),"This special looked at how pilots' aggressive or unprofessional behaviour can cause accidents.


Types of aircraft: Flight 548: Hawker Siddeley Trident 1C; Flight 5719: Jetstream 31; Flight 2286: Fairchild Swearingen Metroliner"
3,3,"""Hero Pilots""",US Airways Flight 1549 Gimli Glider TACA Flight 110,23 July 2018 (2018-07-23),"This special looked at how pilots safely land their aircraft in emergency situations.


Types of aircraft: Flight 1549: Airbus A320-200; Flight 143: Boeing 767-200; Flight 110: Boeing 737-300"
4,4,"""Plane vs. Pilot""",Air France Flight 296Q XL Airways Germany Flight 888T Air France Flight 447,30 July 2018 (2018-07-30),"This special looked at how automation in the cockpit causes deadly misunderstandings.


Types of aircraft: Flight 296Q: Airbus A320-100; Flight 888T: Airbus A320-200; Flight 447: Airbus A330-200"
5,5,"""Explosive Evidence""",Metrojet Flight 9268 Korean Air Lines Flight 007 Malaysia Airlines Flight 17,6 August 2018 (2018-08-06),"This special looked at terrorist acts, including bombings and shootdowns.


Types of aircraft: Flight 9268: Airbus A321-200; Flight 007: Boeing 747-200B; Flight 17: Boeing 777-200ER"
6,6,"""Killer in the Cockpit?""",SilkAir Flight 185 Germanwings Flight 9525 Malaysia Airlines Flight 370,13 August 2018 (2018-08-13),"This special looked at pilots' carefully planned strategies in deliberately crashing aircraft.


Types of aircraft: Flight 185: Boeing 737-300; Flight 9525: Airbus A320-200; Flight 370: Boeing 777-200ER"
7,7,"""Missing Pieces""",British Airways Flight 38 ValuJet Flight 592 Pan Am Flight 103,20 August 2018 (2018-08-20),"This special looked at foreign items, including ice, a chemical oxygen generator, and a bomb as the cause.


Types of aircraft: Flight 38: Boeing 777-200ER; Flight 592: McDonnell Douglas DC-9-32; Flight 103: Boeing 747-100"
8,8,"""Controversial Crashes""",Munich air disaster Arrow Air Flight 1285R Smolensk air disaster,27 August 2018 (2018-08-27),"This special looked at disasters where multiple investigations don't agree on the cause.


Types of aircraft: Flight 609: Airspeed Ambassador; Flight 1285R: Douglas DC-8-63CF; Flight 101: Tupolev Tu-154M"
9,9,"""Deadly Distractions""",Delta Air Lines Flight 1141 Eastern Air Lines Flight 401 2012 Mount Salak Sukhoi Superjet crash,3 September 2018 (2018-09-03),"This special looked at how pilots' deviation from cockpit duties lead to crashes.


Types of aircraft: Flight 1141: Boeing 727-200 Advanced; Flight 401: Lockheed L-1011-1 Tristar; Flight 36801: Sukhoi Superjet 100"
10,10,"""Fire on Board""",1985 Manchester Airport disaster Nigeria Airways Flight 2120 UPS Airlines Flight 6,10 September 2018 (2018-09-10),"This special looked at disasters caused by fires, either on the ground or in the air.


Types of aircraft: Flight 28M: Boeing 737-200; Flight 2120: Douglas DC-8-61; Flight 6: Boeing 747-400F"
11,1,"""Headline News""",American Airlines Flight 77 TWA Flight 800 Air France Flight 4590,5 June 2019 (2019-06-05),"This special looked at some of the most infamous air disasters of all time.


Types of aircraft: Flight 77: Boeing 757-200; Flight 800: Boeing 747-100; Flight 4590: Aérospatiale/BAC Concorde"
12,2,"""Rookie Errors""",LAPA Flight 3142 American Airlines Flight 587 Colgan Air Flight 3407,12 June 2019 (2019-06-12),"This special looked at how pilots' rookie mistakes cause accidents.


Types of aircraft: Flight 3142: Boeing 737-200; Flight 587: Airbus A300-600; Flight 3407: Bombardier Q400"
13,3,"""Collision Course""",Hughes Airwest Flight 706 Pacific Southwest Airlines Flight 182 1996 Charkhi Dadri mid-air collision,19 June 2019 (2019-06-19),"This special looked at mid-air collisions.


Types of aircraft: Flight 706: McDonnell Douglas DC-9-31; USMC jet: McDonnell Douglas F-4 Phantom II; Flight 182: Boeing 727-200; light aircraft: Cessna 172; Flight 763: Boeing 747-100B; Flight 1907: Ilyushin Il-76"
14,4,"""Engines Out""",Cathay Pacific Flight 780 British Airways Flight 9 China Airlines Flight 006,26 June 2019 (2019-06-26),"This special looked at how engine failures cause near-fatal accidents.


Types of aircraft: Flight 780: Airbus A330-300; Flight 9: Boeing 747-200B; Flight 006: Boeing 747SP"
15,5,"""Fuel Trouble""",United Airlines Flight 173 China Airlines Flight 120 Varig Flight 254,3 July 2019 (2019-07-03),"This special looked at fuel problems caused by either crew mismanagement or mechanical failure. 


Types of aircraft: Flight 173: Douglas DC-8-61; Flight 120: Boeing 737-800; Flight 254: Boeing 737-200"
16,6,"""Perilous Payload""",Fine Air Flight 101 Air Midwest Flight 5481 National Airlines Flight 102,10 July 2019 (2019-07-10),"This special looked at disasters caused by improperly distributed weight or secured cargo. 


Types of aircraft: Flight 101: Douglas DC-8-61F; Flight 5481: Beechcraft 1900D; Flight 102: Boeing 747-400F"
17,7,"""Runway in Sight""",Garuda Indonesia Flight 200 Delta Air Lines Flight 191 Asiana Airlines Flight 214,17 July 2019 (2019-07-17),"This special looked at how poorly prepared pilots cause aircraft to crash during landing.


Types of aircraft: Flight 200: Boeing 737-400; Flight 191: Lockheed L-1011-1 Tristar; Flight 214: Boeing 777-200ER"
18,8,"""Deadly Confusion""",1999 Martha's Vineyard plane crash Flash Airlines Flight 604 Adam Air Flight 574,24 July 2019 (2019-07-24),"This special looked at how spatially disoriented pilots cause crashes.


Types of aircraft: JFK Jr's light aircraft: Piper PA-32R-301 Saratoga II; Flight 604: Boeing 737-300; Flight 574: Boeing 737-400"
19,9,"""Radio Silence""",Helios Airways Flight 522 China Airlines Flight 611 1999 South Dakota Learjet crash,31 July 2019 (2019-07-31),"This special looked at accidents caused by either a loss of pressurization or structural failure.


Types of aircraft: Flight 522: Boeing 737-300; Flight 611: Boeing 747-200B; N47BA: Learjet 35"
20,10,"""Design Flaws""",Lauda Air Flight 004 Turkish Airlines Flight 981 Atlantic Southeast Airlines Flight 2311,7 August 2019 (2019-08-07),"This special looked at how poor aircraft designs cause disasters.


Types of aircraft: Flight 004: Boeing 767-300ER; Flight 981: McDonnell Douglas DC-10-10; Flight 2311: Embraer EMB 120 Brasilia"
21,1,"""Heat of the Moment""",TransAsia Airways Flight 235 KLM Cityhopper Flight 433 VSS Enterprise crash,1 October 2020 (2020-10-01),"This special looked at how split-second decisions lead to disasters.


Types of aircraft: Flight 235: ATR 72-600; Flight 433: Saab 340B; VSS Enterprise: Scaled Composites Model 339 SpaceShipTwo"
22,2,"""Instrument Confusion""",Copa Airlines Flight 201 Korean Air Cargo Flight 8509 Aeroflot Flight 821,5 November 2020 (2020-11-05),"This special looked at accidents caused by instrument failure or confusion.


Types of aircraft: Flight 201: Boeing 737-200 Advanced; Flight 8509: Boeing 747-200F; Flight 821: Boeing 737-500"
23,3,"""VIP on Board""",1961 Ndola Transair Sweden DC-6 crash LaMia Flight 2933 1996 Croatia USAF CT-43 crash,8 October 2020 (2020-10-08),"This special looked at disasters involving high-profile passengers.


Types of aircraft: SE-BDY: Douglas DC-6B; Flight 2933: Avro RJ85; Flight 21: Boeing CT-43"
24,4,"""Lapse in Security""",Pacific Southwest Airlines Flight 1771 Air India Flight 182 Uni Air Flight 873,24 September 2020 (2020-09-24),"This special looked at how prohibited items got past airport security.


Types of aircraft: Flight 1771: British Aerospace 146; Flight 182: Boeing 747-200B; Flight 873: McDonnell Douglas MD-90-30"
25,5,"""Mountain Impact""",Thai Airways International Flight 311 Air China Flight 129 Air Inter Flight 148,15 October 2020 (2020-10-15),"This special looked at accidents involving controlled flight into terrain.


Types of aircraft: Flight 311: Airbus A310-300; Flight 129: Boeing 767-200ER; Flight 148: Airbus A320-100"
26,6,"""Survivors""",Southern Airways Flight 242 Continental Airlines Flight 1404 Korean Air Flight 801,17 September 2020 (2020-09-17),"This special looked at stories from survivors of accidents.


Types of aircraft: Flight 242: McDonnell Douglas DC-9-31; Flight 1404: Boeing 737-500; Flight 801: Boeing 747-300"
27,7,"""Death from Above""",2011 Reno Air Races crash 2008 Mexico City Learjet crash Aeroméxico Flight 498,10 September 2020 (2020-09-10),"This special looked at aircraft crashing into populated areas.


Types of aircraft: The Galloping Ghost: North American P-51 Mustang; XC-VMC: Learjet 45; Flight 498: McDonnell Douglas DC-9-32; light aircraft: Piper PA-28-181 Archer"
28,8,"""Courage in the Cockpit""",United Airlines Flight 232 Qantas Flight 32 Northwest Airlines Flight 85,3 September 2020 (2020-09-03),"This special looked at how pilots managed to fly after system failures.


Types of aircraft: Flight 232: McDonnell Douglas DC-10-10; Flight 32: Airbus A380-800; Flight 85: Boeing 747-400"
29,9,"""Maintenance Mistakes""",Continental Express Flight 2574 Emery Worldwide Airlines Flight 17 Partnair Flight 394,29 October 2020 (2020-10-29),"This special looked at accidents caused by maintenance errors.


Types of aircraft: Flight 2574: Embraer EMB 120 Brasilia; Flight 17: Douglas DC-8-71F; Flight 394: Convair CV-580"
30,10,"""Take Off Tragedies""",Singapore Airlines Flight 006 Northwest Airlines Flight 255 Spanair Flight 5022,22 October 2020 (2020-10-22),"This special looked at how missteps during takeoff cause accidents.


Types of aircraft: Flight 006: Boeing 747-400; Flight 255: McDonnell Douglas MD-82; Flight 5022: McDonnell Douglas MD-82"
31,1,"""Dead of Night""",AIRES Flight 8250 Ethiopian Airlines Flight 409 West Air Sweden Flight 294,15 February 2021 (2021-02-15),"This special looked at disasters where darkness played a role.


Types of aircraft: Flight 8250: Boeing 737-700; Flight 409: Boeing 737-800; Flight 294: Bombardier CRJ200"
32,2,"""Engine Gone""",American Airlines Flight 191 Reeve Aleutian Airways Flight 8 El Al Flight 1862,11 January 2021 (2021-01-11),"This special looked at accidents caused by engine separations.


Types of aircraft: Flight 191: McDonnell Douglas DC-10-10; Flight 8: Lockheed L-188 Electra; Flight 1862: Boeing 747-200F"
33,3,"""Lethal Choices""",Kegworth air disaster TAM Transportes Aéreos Regionais Flight 402 Indonesia AirAsia Flight 8501,8 February 2021 (2021-02-08),"This special looked at disasters caused by pilots' improper life-and-death decisions.


Types of aircraft: Flight 092: Boeing 737-400; Flight 402: Fokker 100; Flight 8501: Airbus A320-200"
34,4,"""Risky Runways""",TAM Airlines Flight 3054 Pakistan International Airlines Flight 268 Atlantic Airways Flight 670,1 February 2021 (2021-02-01),"This special looked at some of the most challenging landings of all time.


Types of aircraft: Flight 3054: Airbus A320-200; Flight 268: Airbus A300B4-200; Flight 670: British Aerospace 146-200A"
35,5,"""Landings Gone Wrong""",Crossair Flight 3597 Trigana Air Flight 267 TransAsia Airways Flight 222,1 March 2021 (2021-03-01),"This special looked at how pilots' improvisation cause aircraft to crash during approach.


Types of aircraft: Flight 3597: British Aerospace 146; Flight 267: ATR 42-300; Flight 222: ATR 72-500"
36,6,"""Frozen Wings""",Air Florida Flight 90 Comair Flight 3272 Sol Líneas Aéreas Flight 5428,8 March 2021 (2021-03-08),"This special looked at accidents caused by icing.


Types of aircraft: Flight 90: Boeing 737-200; Flight 3272: Embraer EMB 120 Brasilia; Flight 5428: Saab 340A"
37,7,"""Runway Collisions""",1990 Wayne County Airport runway collision 1991 Los Angeles runway collision 2001 Linate Airport runway collision,18 January 2021 (2021-01-18),"This special looked at runway incursions. 


Types of aircraft: Flight 1482: McDonnell Douglas DC-9-14; Flight 299: Boeing 727-200 Advanced; Flight 1493: Boeing 737-300; Flight 5569: Fairchild Metro III;  Flight 686: McDonnell Douglas MD-87; business jet: Cessna Citation CJ2"
38,8,"""Cockpit Breakdown""",Kenya Airways Flight 507 Crossair Flight 498 United Express Flight 6291,22 February 2021 (2021-02-22),"This special looked at accidents caused by mismatched pilots.


Types of aircraft: Flight 507: Boeing 737-800; Flight 498: Saab 340B; Flight 6291: British Aerospace Jetstream 41"
39,9,"""Splash Down""",Garuda Indonesia Flight 421 Cougar Helicopters Flight 91 Tuninter Flight 1153,15 March 2021 (2021-03-15),"This special looked at aircraft ditching in the water. 


Types of aircraft: Flight 421: Boeing 737-300; Flight 91: Sikorsky S-92A; Flight 1153: ATR 72-200"
40,10,"""Northern Extremes""",Air Ontario Flight 1363 Scandinavian Airlines System Flight 751 First Air Flight 6560,25 January 2021 (2021-01-25),"This special looked at aircraft crashing in the far North. 


Types of aircraft: Flight 1363: Fokker F28-1000; Flight 751: McDonnell Douglas MD-81; Flight 6560: Boeing 737-200C"
41,1,"""War Zone""",1975 Tân Sơn Nhứt C-5 accident Iran Air Flight 655 2003 Baghdad DHL attempted shootdown incident,3 July 2022 (2022-07-03),"This special looked at disasters over enemy territory. 


Types of aircraft: 68-0218: Lockheed C-5A Galaxy; Flight 655: Airbus A300B2-200; OO-DLL: Airbus A300B4-200F"
42,2,"""Time Critical""",Turkish Airlines Flight 1951 Continental Airlines Flight 1713 Ansett New Zealand Flight 703,10 July 2022 (2022-07-10),"This special looked at accidents caused by pilots rushing through procedures. 


Types of aircraft: Flight 1951: Boeing 737-800; Flight 1713: McDonnell Douglas DC-9-14; Flight 703: de Havilland Canada DHC-8-102"
43,3,"""Ticking Time Bomb""",Air Moorea Flight 1121 Japan Air Lines Flight 123 Chalk's Ocean Airways Flight 101,17 July 2022 (2022-07-17),"This special looked at disasters caused by deteriorating aircraft parts.


Types of aircraft: Flight 1121: de Havilland Canada DHC-6 Twin Otter; Flight 123: Boeing 747SR; Flight 101: Grumman G-73T Turbine Mallard"
44,4,"""Accidents in the Air""",1956 Grand Canyon mid-air collision Proteus Airlines Flight 706 Gol Transportes Aéreos Flight 1907,24 July 2022 (2022-07-24),"This special looked at mid-air collisions caused by either pilot error or meltdowns within air traffic control.


Types of aircraft: Flight 718: Douglas DC-7; Flight 2: Lockheed L-1049 Super Constellation; Flight 706: Beechcraft 1900D; light aircraft: Cessna 177 Cardinal; Flight 1907: Boeing 737-800; business jet: Embraer Legacy 600"
45,5,"""Impossible Landings""",Southwest Airlines Flight 1380 Aloha Airlines Flight 243 Air Canada Flight 797,31 July 2022 (2022-07-31),"This special looked at how pilots manage to land their aircraft with zero room for error.


Types of aircraft: Flight 1380: Boeing 737-700; Flight 243: Boeing 737-200; Flight 797: McDonnell Douglas DC-9-32"
46,6,"""Trained to Fail.""",West Caribbean Airways Flight 708 Loganair Flight 6780 Lokomotiv Yaroslavl plane crash,7 August 2022 (2022-08-07),"This special looked at accidents caused by poor pilot training.


Types of aircraft: Flight 708: McDonnell Douglas MD-82; Flight 6780: Saab 2000; Flight 9633: Yakovlev Yak-42D"
47,7,"""Deadly Data""",Alitalia Flight 404 Qantas Flight 72 Santa Barbara Airlines Flight 518,14 August 2022 (2022-08-14),"This special looked at incidents caused by computer errors.


Types of aircraft: Flight 404: McDonnell Douglas DC-9-32; Flight 72: Airbus A330-300: Flight 518: ATR 42-300"
48,8,"""Poor Piloting""",China Airlines Flight 140 Manx2 Flight 7100 Aeroflot Flight 593,21 August 2022 (2022-08-21),"This special looked at accidents caused by errors in the cockpit.


Types of aircraft: Flight 140: Airbus A300B4-600R; Flight 7100: Fairchild SA227-BC Metro III; Flight 593: Airbus A310-300"
49,9,"""Dangerous Winds""",USAir Flight 1016 TANS Perú Flight 204  1989 Hurricane Hunters NOAA 42 incident,28 August 2022 (2022-08-28),"This special looked at disasters where strong winds played a role.


Types of aircraft: Flight 1016: McDonnell Douglas DC-9-31; Flight 204: Boeing 737-200 Advanced; NOAA42: Lockheed WP-3D Orion"
50,10,"""Sabotage""",Ethiopian Airlines Flight 961 Itavia Flight 870  LAM Mozambique Airlines Flight 470,4 September 2022 (2022-09-04),"This special looked at aircraft that were brought down by acts of sabotage.


Types of aircraft: Flight 961: Boeing 767-200ER; Flight 870: McDonnell Douglas DC-9-15; Flight 470: Embraer E190"
51,1,"""Pitch Problems""",Alaska Airlines Flight 261 American Eagle Flight 4184 United Airlines Flight 585 USAir Flight 427 Eastwind Airlines Flight 517,8 July 2024 (2024-07-08),"This special looked at accidents caused by pitch issues.


Types of aircraft: Flight 261: McDonnell Douglas MD-83; Flight 4184: ATR 72-200; Flight 585: Boeing 737-200; Flight 427: Boeing 737-300; Flight 517: Boeing 737-200"
52,2,"""Fight to the Finish""",Trans-Air Service Flight 671 Air Astana Flight 1388 Philippine Airlines Flight 434,15 July 2024 (2024-07-15),"This special looked at incidents where pilots face impossible odds.


Types of aircraft: Flight 671: Boeing 707-320C; Flight 1388: Embraer E190; Flight 434: Boeing 747-200B"
53,3,"""Bad Data""",2008 Andersen Air Force Base B-2 accident Independent Air Flight 1851 Birgenair Flight 301,22 July 2024 (2024-07-22),"This special looked at disasters caused by faulty data.


Types of aircraft: Spirit of Kansas: Northrop Grumman B-2 Spirit; Flight 1851: Boeing 707-330B; Flight 301: Boeing 757-200"
54,4,"""Landing Hazards""",Martinair Flight 495 American Airlines Flight 1572 Air France Flight 358,29 July 2024 (2024-07-29),"This special looked at the threat bad weather poses to landings.


Types of aircraft: Flight 495: McDonnell Douglas DC-10-30CF; Flight 1572: McDonnell Douglas MD-83; Flight 358: Airbus A340-300"
55,5,"""Training Ignored""",2020 Calabasas helicopter crash Corporate Airlines Flight 5966 Comair Flight 5191,5 August 2024 (2024-08-05),"This special looked at accidents caused by pilots ignoring their training.


Types of aircraft: N72EX: Sikorsky S-76B; Flight 5966: British Aerospace Jetstream 32: Flight 5191: Bombardier CRJ-100ER"
56,6,"""Reckless Approaches""",Execuflight Flight 1526 Flagship Airlines Flight 3379 American International Airways Flight 808,12 August 2024 (2024-08-12),"This special looked at careless approaches. 


Types of aircraft: Flight 1526: British Aerospace BAe-125; Flight 3379: Jetstream 32; Flight 808: Douglas DC-8-61F"
